url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/108-Lisgar-St-K2P-0C2/unit-504/home/148754717,"May 01, 2024",Listed,679900,X9426315
https://www.redfin.ca/on/ottawa/108-Lisgar-St-K2P-0C2/unit-504/home/148754717,"Aug 02, 2024",Sold (MLS),660000,X9426315
https://www.redfin.ca/on/ottawa/108-Lisgar-St-K2P-0C2/unit-1503/home/148754763,"May 02, 2024",Listed,1950000,X9426355
https://www.redfin.ca/on/ottawa/108-Lisgar-St-K2P-0C2/unit-1503/home/148754763,"Aug 22, 2024",Sold (MLS),1925000,X9426355
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-709/home/148755561,"Sep 05, 2024",Listed,399900,X9454068
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-709/home/148755561,"Nov 28, 2024",Sold (MLS),382000,X9454068
https://www.redfin.ca/on/ottawa/235-Kent-St-K2P-0A5/unit-1408/home/148755854,"Oct 31, 2024",Listed,599900,X10410902
https://www.redfin.ca/on/ottawa/235-Kent-St-K2P-0A5/unit-1408/home/148755854,"Nov 16, 2024",Sold (MLS),597000,X10410902
https://www.redfin.ca/on/ottawa/271-McLeod-St-K2P-1A1/unit-2/home/148755908,"Aug 07, 2024",Listed,599000,X9443745
https://www.redfin.ca/on/ottawa/271-McLeod-St-K2P-1A1/unit-2/home/148755908,"Nov 06, 2024",Delisted,,X9443745
https://www.redfin.ca/on/ottawa/138-Somerset-St-W-K2P-0H9/unit-912/home/148755962,"Sep 30, 2024",Listed,385000,X9458990
https://www.redfin.ca/on/ottawa/138-Somerset-St-W-K2P-0H9/unit-912/home/148755962,"Oct 11, 2024",Sold (MLS),375000,X9458990
https://www.redfin.ca/on/ottawa/320-McLeod-St-K2P-1A3/unit-807/home/148756053,"Jan 30, 2024",Listed,1000000,X9431448
https://www.redfin.ca/on/ottawa/320-McLeod-St-K2P-1A3/unit-807/home/148756053,"May 31, 2024",Sold (MLS),940000,X9431448
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-706/home/148756117,"May 28, 2025",Listed,348900,X12178442
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-706/home/148756117,"Jun 04, 2025",Price Changed,344900,X12178442
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-706/home/148756117,"Jul 03, 2025",Listed,324900,X12259863
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-706/home/148756117,"Jul 11, 2025",Sold (MLS),324900,X12259863
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-907/home/148756127,"Nov 06, 2024",Listed,484900,X10411050
https://www.redfin.ca/on/ottawa/360-McLeod-St-K2P-1A9/unit-907/home/148756127,"Nov 16, 2024",Sold (MLS),475000,X10411050
https://www.redfin.ca/on/ottawa/1034-Riddell-Ave-S-K2C-2J7/home/148763259,"Sep 23, 2025",Listed,769900,X12422229
https://www.redfin.ca/on/ottawa/1034-Riddell-Ave-S-K2C-2J7/home/148763259,"Nov 06, 2025",Price Changed,749900,X12422229
https://www.redfin.ca/on/ottawa/1034-Riddell-Ave-S-K2C-2J7/home/148763259,"Nov 21, 2025",Sold (MLS),749900,X12422229
