url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-105/home/172336230,"Apr 17, 2025",Sold (MLS) (Closed),"$1,448,000",X11996616
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-105/home/172336230,"Mar 3, 2025",Listed (Active),"$1,477,000",X11996616
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-105/home/172336230,"Mar 1, 2025",Delisted (Off Market),—,X11572814
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-105/home/172336230,"Nov 29, 2024",Listed (Active),"$1,477,000",X11572814
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-109/home/182893779,"Aug 23, 2023",Sold (MLS) (Sold),"$975,000",X6220600
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-109/home/182893779,"Jul 14, 2023",Price Changed,"$949,000",X6220600
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-109/home/182893779,"Jun 27, 2023",Listed (Active),"$997,000",X6220600
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-109/home/182893779,"Jun 9, 2023",Price Changed,"$1,199,999",X6050527
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-109/home/182893779,"Apr 27, 2023",Listed (Active),"$1,296,000",X6050527
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1204/home/170472985,"Apr 11, 2024",Sold (MLS),"$555,000",X9434430
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1204/home/170472985,"Jan 18, 2024",Listed,"$579,000",X9434430
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1305/home/158823673,"Jun 5, 2024",Sold (MLS),"$617,000",X9431954
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1305/home/158823673,"Apr 15, 2024",Listed,"$629,900",X9431954
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1305/home/158823673,"Apr 11, 2018",Delisted,—,X3799317
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1305/home/158823673,"May 11, 2017",Listed,"$664,900",X3799317
https://www.redfin.ca/on/ottawa/1035-Bank-St-K1S-3W9/unit-1508/home/170475636,"Aug 26, 2024",Sold (MLS),"$587,500",X9440870
